run_id,timestep,agent_id,role,x,y,status,degree,avg_snr_db,avg_rate_mbps
run_greedy_dara_1000,8,2,relay,22.30999999999998,0.0,active,2,55.01721055494949,182.76328051591938
run_greedy_dara_1000,8,3,relay,44.78999999999999,0.0,active,2,51.31164823414992,170.45371252570624
run_greedy_dara_1000,8,4,relay,67.19999999999999,0.0,active,2,51.31765997792431,170.47368295860326
run_greedy_dara_1000,8,5,relay,89.60999999999999,0.0,active,2,51.311648234149914,170.45371252570624
run_greedy_dara_1000,8,6,relay,112.09000000000003,0.0,active,2,55.0172105549495,182.7632805159194
run_greedy_dara_1000,9,0,ground_a,0.0,0.0,active,1,51.33648464740291,170.5362166963326
run_greedy_dara_1000,9,1,ground_b,134.39999999999998,0.0,active,1,51.33648464740291,170.5362166963326
run_greedy_dara_1000,9,2,relay,22.29999999999998,0.0,active,2,55.01849210856503,182.76753775651068
run_greedy_dara_1000,9,3,relay,44.78999999999999,0.0,active,2,51.310788008173006,170.45085493802588
run_greedy_dara_1000,9,4,relay,67.19999999999999,0.0,active,2,51.31765997792431,170.47368295860326
run_greedy_dara_1000,9,5,relay,89.60999999999999,0.0,active,2,51.310788008173,170.45085493802586
run_greedy_dara_1000,9,6,relay,112.10000000000004,0.0,active,2,55.018492108565034,182.7675377565107
run_greedy_dara_1000,10,0,ground_a,0.0,0.0,active,1,51.338191787227856,170.5418876503995
run_greedy_dara_1000,10,1,ground_b,134.39999999999998,0.0,active,1,51.338191787227885,170.5418876503996
run_greedy_dara_1000,10,2,relay,22.289999999999978,0.0,active,2,55.02063484881218,182.77465577601333
run_greedy_dara_1000,10,3,relay,44.779999999999994,0.0,active,2,51.30993024066442,170.4480055170817
run_greedy_dara_1000,10,4,relay,67.19999999999999,0.0,active,2,51.31594444290714,170.46798411671494
run_greedy_dara_1000,10,5,relay,89.61999999999999,0.0,active,2,51.309930240664414,170.4480055170817
run_greedy_dara_1000,10,6,relay,112.11000000000004,0.0,active,2,55.020634848812186,182.77465577601336
run_greedy_dara_1000,11,0,ground_a,0.0,0.0,active,1,51.33989822936218,170.5475562868217
run_greedy_dara_1000,11,1,ground_b,134.39999999999998,0.0,active,1,51.33989822936219,170.54755628682176
