step,connected,sum_rate,min_slack,max_link_dist
55,False,911.0851697981163,-19.25000000000003,41.25000000000003
56,False,911.1222743565902,-19.250000000000036,41.250000000000036
57,False,911.1639106924233,-19.250000000000036,41.250000000000036
58,False,911.1636241016461,-19.25000000000003,41.25000000000003
59,False,911.2173674412275,-19.250000000000036,41.250000000000036
60,False,911.2742672241557,-19.250000000000043,41.25000000000004
61,False,911.3344842349832,-19.250000000000043,41.25000000000004
62,False,911.3984171237134,-19.250000000000043,41.25000000000004
63,False,911.4291663210704,-19.25000000000005,41.25000000000005
64,False,911.4267554441166,-19.250000000000057,41.25000000000006
65,False,911.4802674428362,-19.250000000000064,41.250000000000064
66,False,911.5532796357829,-19.250000000000064,41.250000000000064
67,False,911.5847260772439,-19.250000000000064,41.250000000000064
68,False,911.6305402951434,-19.250000000000064,41.250000000000064
69,False,911.6394288945164,-19.250000000000057,41.25000000000006
70,False,911.7047399151156,-19.250000000000057,41.25000000000006
71,False,911.8198023885143,-19.250000000000057,41.25000000000006
72,False,911.880449176955,-19.250000000000057,41.25000000000006
73,False,911.8920582599916,-19.250000000000057,41.25000000000006
74,False,911.8585632279769,-19.250000000000064,41.250000000000064
75,False,911.8497724407687,-19.250000000000057,41.25000000000006
76,False,911.9052548179143,-19.250000000000057,41.25000000000006
77,False,912.016139274977,-19.250000000000057,41.25000000000006
78,False,912.1215534480601,-19.250000000000057,41.25000000000006
79,False,912.2247790572169,-19.250000000000064,41.250000000000064
80,False,912.2814896702831,-19.250000000000064,41.250000000000064
81,False,912.2929195699788,-19.250000000000064,41.250000000000064
82,False,912.2599613977468,-19.250000000000064,41.250000000000064
83,False,912.2600488099215,-19.25000000000007,41.25000000000007
84,False,912.2895903793984,-19.250000000000078,41.25000000000008
85,False,912.3746856751869,-19.250000000000078,41.25000000000008
86,False,912.4782214423601,-19.250000000000078,41.25000000000008
87,False,912.5848277229087,-19.250000000000078,41.25000000000008
88,False,912.6432501241709,-19.250000000000078,41.25000000000008
89,False,912.6533449395934,-19.250000000000078,41.25000000000008
90,False,912.6150533739371,-19.250000000000085,41.250000000000085
91,False,912.651842642961,-19.250000000000092,41.25000000000009
92,False,912.7564479159469,-19.250000000000092,41.25000000000009
93,False,912.9188004222889,-19.250000000000085,41.250000000000085
94,False,913.005028889026,-19.250000000000085,41.250000000000085
95,False,913.0234923862929,-19.250000000000085,41.250000000000085
96,False,912.9799130860927,-19.250000000000092,41.25000000000009
97,False,912.9708455684092,-19.2500000000001,41.2500000000001
98,False,912.999899787831,-19.250000000000107,41.25000000000011
99,False,913.0568875911001,-19.2500000000001,41.2500000000001
100,False,913.1350001381218,-19.250000000000092,41.25000000000009
101,False,913.2295786216171,-19.250000000000085,41.250000000000085
102,False,913.3373827477755,-19.250000000000078,41.25000000000008
103,False,913.3959793651375,-19.25000000000007,41.25000000000007
104,False,913.4353970978433,-19.250000000000064,41.250000000000064
105,False,913.4544074612945,-19.250000000000057,41.25000000000006
106,False,913.5590108484964,-19.25000000000005,41.25000000000005
107,False,913.5791956408311,-19.250000000000043,41.25000000000004
108,False,913.6310537797222,-19.250000000000036,41.250000000000036
109,False,913.7096452211293,-19.25000000000003,41.25000000000003
110,False,913.8084623704756,-19.25000000000002,41.25000000000002
111,False,913.845225358544,-19.250000000000014,41.250000000000014
