scenario_idx,desc,seed,d_ab,fail_id,tick,connected,solver_status,min_slack,min_slack_u,min_slack_v,max_speed,chain_order,max_chain_dist,max_chain_link,chain_dists_str
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,29,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0673067821266273,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",40.438532083885995,"(np.int64(4), np.int64(6))",0-2:23.97;2-3:23.97;3-4:24.00;4-6:40.44;6-7:24.27;7-8:24.17;8-1:24.17
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,30,False,DISCONNECTED_BYPASS,-157.0,0,1,2.071313999776758,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",40.06111651911105,"(np.int64(4), np.int64(6))",0-2:24.03;2-3:24.03;3-4:24.05;4-6:40.06;6-7:24.34;7-8:24.27;8-1:24.22
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,31,False,DISCONNECTED_BYPASS,-157.0,0,1,2.075321313078774,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",39.681688230224424,"(np.int64(4), np.int64(6))",0-2:24.10;2-3:24.09;3-4:24.10;4-6:39.68;6-7:24.40;7-8:24.36;8-1:24.28
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,32,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0883163020927804,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",39.2997914497367,"(np.int64(4), np.int64(6))",0-2:24.18;2-3:24.14;3-4:24.14;4-6:39.30;6-7:24.47;7-8:24.44;8-1:24.34
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,33,False,DISCONNECTED_BYPASS,-157.0,0,1,2.0939163499529787,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",38.916541907598784,"(np.int64(4), np.int64(6))",0-2:24.26;2-3:24.18;3-4:24.19;4-6:38.92;6-7:24.55;7-8:24.49;8-1:24.41
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,34,False,DISCONNECTED_BYPASS,-157.0,0,1,2.097926250928088,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",38.53222396393111,"(np.int64(4), np.int64(6))",0-2:24.33;2-3:24.24;3-4:24.24;4-6:38.53;6-7:24.65;7-8:24.51;8-1:24.50
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,35,False,DISCONNECTED_BYPASS,-157.0,0,1,2.1019362361093012,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",38.146752423800926,"(np.int64(4), np.int64(6))",0-2:24.36;2-3:24.32;3-4:24.30;4-6:38.15;6-7:24.73;7-8:24.56;8-1:24.58
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,36,False,DISCONNECTED_BYPASS,-157.0,0,1,2.1059463050156024,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",37.75994118554752,"(np.int64(4), np.int64(6))",0-2:24.38;2-3:24.39;3-4:24.39;4-6:37.76;6-7:24.80;7-8:24.63;8-1:24.66
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,37,False,DISCONNECTED_BYPASS,-157.0,0,1,2.1099564571696208,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",37.371832302034974,"(np.int64(4), np.int64(6))",0-2:24.44;2-3:24.40;3-4:24.50;4-6:37.37;6-7:24.89;7-8:24.70;8-1:24.71
1,"N=9, d=185m (margin 1.57m), Fail 5@t=10",2051,185,5,38,False,DISCONNECTED_BYPASS,-157.0,0,1,2.1139666920975997,"[np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(1)]",36.98315653561865,"(np.int64(4), np.int64(6))",0-2:24.48;2-3:24.44;3-4:24.59;4-6:36.98;6-7:24.98;7-8:24.77;8-1:24.75
