step,bp_conn,bp_rate,bp_min_slack,bp_max_dist,bp_mean_spd,bp_max_spd,b_conn,b_rate,b_min_slack,b_max_dist,b_mean_spd,b_max_spd
12,False,1077.2139075515656,-13.936609847549093,41.93660984754909,0.9007191048795457,1.662036768553245,False,1077.5391635742544,-14.522676434511745,42.522676434511745,1.071299610493164,1.8398695705801997
13,False,1076.9777697623986,-13.639743365523536,41.639743365523536,1.0420434634064109,1.8592679107757932,False,1077.51335115674,-14.3717434627034,42.3717434627034,1.0291659405865279,1.5654489107605936
14,False,1076.717351841529,-13.309193663785862,41.30919366378586,1.07878763948368,2.009650559485287,False,1077.4375257894324,-14.181642343171923,42.18164234317192,1.0298713003842608,1.4691476947863902
15,False,1076.4391072669616,-12.946247827284061,40.94624782728406,1.1258721177794626,2.171174019772939,False,1077.286825228325,-13.956446194311631,41.95644619431163,1.0370897626864888,1.6088689179993938
16,False,1076.0997536199588,-12.56049870762169,40.56049870762169,1.2796124798827662,2.2565640597196586,False,1077.0738593731437,-13.700771000492672,41.70077100049267,1.0205076015816434,1.728831669265505
17,False,1075.7137678022787,-12.152338793280812,40.15233879328081,1.4469643378409032,2.3554663375482634,False,1076.8317801962507,-13.417468968143197,41.4174689681432,0.9576553935837725,1.821222686538867
18,False,1075.2847325122032,-11.729507686352605,39.729507686352605,1.5660868054606156,2.398096461439901,False,1076.5940940990902,-13.108714307153313,41.10871430715331,0.897299752725167,1.8990044313765189
19,False,1074.856630313132,-11.294169763279776,39.294169763279776,1.59819475437256,2.429787507964697,False,1076.362497434604,-12.775817937039946,40.775817937039946,0.9273531966294838,1.967764351064627
20,False,1074.4423974800666,-10.847537604315,38.847537604315,1.5900873432518583,2.4785688094943366,False,1076.0697093882643,-12.42410841700842,40.42410841700842,1.0545261047260117,2.0005249322282297
21,False,1074.0247808083095,-10.38903176893168,38.38903176893168,1.6284024125521739,2.543986686805032,False,1075.733493819391,-12.05670530393455,40.05670530393455,1.1894784472045656,2.019646041272905
22,False,1073.5863899364667,-9.92042775072126,37.92042775072126,1.665128243884598,2.6013595550081483,False,1075.3662583697778,-11.676642977358199,39.6766429773582,1.2841454661855147,2.0367313909567724
23,False,1073.1294962751213,-9.444043877813293,37.44404387781329,1.7103189350601415,2.649771951056336,False,904.3115117735188,-11.286616312046412,39.28661631204641,1.3541405905327946,2.0479355341679946
24,False,1072.6783412648379,-8.9622743633198,36.9622743633198,1.7310569064755041,2.683721529092461,False,903.9499511791487,-10.917939307914338,38.91793930791434,1.372026322242575,2.0541963650045556
25,False,1072.23555865648,-8.477104935986354,36.477104935986354,1.7081585770028263,2.70458317645191,False,903.6209335596031,-10.568450580810897,38.5684505808109,1.2959195926744138,2.0657772910296694
26,False,1071.8078166263058,-7.989334599590762,35.98933459959076,1.6804290268081372,2.7198220752008444,False,903.2949007785157,-10.23656083725593,38.23656083725593,1.2754191195232938,2.068893201462092
27,False,1071.3594766039478,-7.501083523711863,35.50108352371186,1.7201849155731412,2.7292794775775486,False,1073.6690218229928,-9.919360720589587,37.91936072058959,1.3107537708681742,2.0716054051782984
28,False,1070.9140258343825,-7.013434163522859,35.01343416352286,1.7005037503434413,2.7279334548606857,False,1073.3316601694642,-9.586767396115086,37.586767396115086,1.3859021279059593,2.0660875400198053
29,False,729.0510115087856,-6.526563103322246,34.526563103322246,1.691662330413351,2.7251027709637685,False,1072.9756120066038,-9.239310294868687,37.23931029486869,1.4474634822361943,2.0580159657303523
30,False,728.6549597423513,-6.069246917447842,34.06924691744784,1.6276068424959302,2.7233160743445852,False,1072.642317356158,-8.8780223837284,36.8780223837284,1.419784522716023,2.0471002423534648
31,False,898.9952142578243,-5.646640801331415,33.646640801331415,1.5539909419029525,2.7235523508018895,False,1072.283203722801,-8.503823316923487,36.50382331692349,1.488517163859787,2.0452354258956955
32,False,898.6116360076472,-5.258934036739845,33.258934036739845,1.5245628208898536,2.7275621785734097,False,1071.9009221201,-8.119132509075186,36.119132509075186,1.5525811818981088,2.035300043525173
